No. , DateTime, packetNumber, packet_nAddpos, packet_nPos ,packet_ArrayByte, Ticks
404, 2022-03-14 PM 5:50:35 and 217ms, 10212, 49, 0, 637828770352171900, 
405, 2022-03-14 PM 5:50:35 and 301ms, 10212, 46, 0, 637828770353015900, 
406, 2022-03-14 PM 5:50:35 and 317ms, 10212, 45, 0, 637828770353177390, 
407, 2022-03-14 PM 5:50:35 and 601ms, 10212, 46, 0, 637828770356010850, 
408, 2022-03-14 PM 5:50:35 and 920ms, 970138, 582, 0, 637828770359204820, 
409, 2022-03-14 PM 5:50:36 and 322ms, 10212, 45, 0, 637828770363222940, 
410, 2022-03-14 PM 5:50:36 and 623ms, 10212, 45, 0, 637828770366232610, 
411, 2022-03-14 PM 5:50:36 and 638ms, 10212, 45, 0, 637828770366386730, 
412, 2022-03-14 PM 5:50:36 and 740ms, 10212, 45, 0, 637828770367406810, 
413, 2022-03-14 PM 5:50:36 and 939ms, 10212, 45, 0, 637828770369399510, 
414, 2022-03-14 PM 5:50:37 and 240ms, 10212, 45, 0, 637828770372405900, 
415, 2022-03-14 PM 5:50:37 and 257ms, 10212, 45, 0, 637828770372579070, 
416, 2022-03-14 PM 5:50:37 and 458ms, 10212, 45, 0, 637828770374581360, 
417, 2022-03-14 PM 5:50:37 and 475ms, 10212, 47, 0, 637828770374751840, 
418, 2022-03-14 PM 5:50:37 and 491ms, 10212, 46, 0, 637828770374917920, 
419, 2022-03-14 PM 5:50:37 and 508ms, 10212, 55, 0, 637828770375084710, 
420, 2022-03-14 PM 5:50:37 and 525ms, 10212, 49, 0, 637828770375256690, 
421, 2022-03-14 PM 5:50:37 and 541ms, 10212, 67, 0, 637828770375414040, 
422, 2022-03-14 PM 5:50:37 and 558ms, 970112, 65, 0, 637828770375585940, 
423, 2022-03-14 PM 5:50:38 and 479ms, 10209, 317, 0, 637828770384795020, 
424, 2022-03-14 PM 5:50:38 and 496ms, 970112, 65, 0, 637828770384962300, 
425, 2022-03-14 PM 5:50:40 and 838ms, 970137, 26, 0, 637828770408384700, 
426, 2022-03-14 PM 5:50:41 and 489ms, 10205, 78, 0, 637828770414890210, 
427, 2022-03-14 PM 5:50:41 and 506ms, 970112, 13, 0, 637828770415066980, 
428, 2022-03-14 PM 5:50:43 and 79ms, 970123, 10, 0, 637828770430793290, 
429, 2022-03-14 PM 5:50:43 and 362ms, 970123, 13, 0, 637828770433628160, 
430, 2022-03-14 PM 5:50:43 and 379ms, 970123, 19, 0, 637828770433796210, 
431, 2022-03-14 PM 5:50:43 and 597ms, 970123, 12, 0, 637828770435971950, 
432, 2022-03-14 PM 5:50:43 and 613ms, 970123, 10, 0, 637828770436137240, 
433, 2022-03-14 PM 5:50:43 and 797ms, 970123, 11, 0, 637828770437977920, 
434, 2022-03-14 PM 5:50:43 and 847ms, 970123, 31, 0, 637828770438479810, 
435, 2022-03-14 PM 5:50:48 and 866ms, 970112, 13, 0, 637828770488660970, 
436, 2022-03-14 PM 5:50:49 and 17ms, 10210, 65, 0, 637828770490173500, 
437, 2022-03-14 PM 5:50:51 and 73ms, 970112, 13, 0, 637828770510735740, 
438, 2022-03-14 PM 5:50:51 and 90ms, 10202, 95, 0, 637828770510901350, 
439, 2022-03-14 PM 5:50:51 and 676ms, 10214, 59, 0, 637828770516760940, 
440, 2022-03-14 PM 5:50:51 and 692ms, 10202, 77, 0, 637828770516929590, 
441, 2022-03-14 PM 5:50:51 and 708ms, 10214, 41, 0, 637828770517086750, 
442, 2022-03-14 PM 5:50:51 and 727ms, 10202, 74, 0, 637828770517275870, 
443, 2022-03-14 PM 5:50:51 and 961ms, 10215, 10, 0, 637828770519614310, 
444, 2022-03-14 PM 5:50:51 and 977ms, 10202, 83, 0, 637828770519773480, 
445, 2022-03-14 PM 5:50:53 and 631ms, 10201, 21, 0, 637828770536319020, 
446, 2022-03-14 PM 5:50:54 and 251ms, 970123, 13, 0, 637828770542511370, 
447, 2022-03-14 PM 5:50:55 and 20ms, 10214, 47, 0, 637828770550201580, 
448, 2022-03-14 PM 5:50:55 and 54ms, 10202, 75, 0, 637828770550540100, 
449, 2022-03-14 PM 5:50:56 and 828ms, 970123, 19, 0, 637828770568287120, 
450, 2022-03-14 PM 5:50:57 and 596ms, 10214, 39, 0, 637828770575962750, 
451, 2022-03-14 PM 5:50:57 and 609ms, 10202, 74, 0, 637828770576091620, 
452, 2022-03-14 PM 5:50:57 and 844ms, 10214, 38, 0, 637828770578443490, 
453, 2022-03-14 PM 5:50:57 and 860ms, 10202, 76, 0, 637828770578606800, 
454, 2022-03-14 PM 5:50:58 and 697ms, 970123, 31, 0, 637828770586972050, 
455, 2022-03-14 PM 5:50:58 and 713ms, 10214, 40, 0, 637828770587137580, 
456, 2022-03-14 PM 5:50:58 and 731ms, 970112, 65, 0, 637828770587310970, 
457, 2022-03-14 PM 5:50:59 and 834ms, 970123, 11, 0, 637828770598344970, 
458, 2022-03-14 PM 5:51:00 and 86ms, 970123, 10, 0, 637828770600860150, 
459, 2022-03-14 PM 5:51:00 and 888ms, 970123, 12, 0, 637828770608883060, 
460, 2022-03-14 PM 5:51:01 and 407ms, 970112, 13, 0, 637828770614070080, 
461, 2022-03-14 PM 5:51:02 and 428ms, 10216, 80, 0, 637828770624280600, 
462, 2022-03-14 PM 5:51:04 and 584ms, 10217, 308, 0, 637828770645844020, 
463, 2022-03-14 PM 5:51:04 and 650ms, 970135, 22, 0, 637828770646504860, 
464, 2022-03-14 PM 5:51:05 and 654ms, 970112, 13, 0, 637828770656546790, 
465, 2022-03-14 PM 5:51:05 and 671ms, 970112, 13, 0, 637828770656718400, 
466, 2022-03-14 PM 5:51:05 and 687ms, 10218, 202, 0, 637828770656878440, 
467, 2022-03-14 PM 5:51:06 and 323ms, 970112, 13, 0, 637828770663237840, 
468, 2022-03-14 PM 5:51:06 and 340ms, 10218, 392, 0, 637828770663405930, 
469, 2022-03-14 PM 5:51:07 and 661ms, 970014, 61, 0, 637828770676618870, 
470, 2022-03-14 PM 5:51:08 and 381ms, 970114, 379, 0, 637828770683813260, 
471, 2022-03-14 PM 5:51:08 and 397ms, 970112, 13, 0, 637828770683972530, 
472, 2022-03-14 PM 5:51:08 and 414ms, 10218, 441, 0, 637828770684143740, 
473, 2022-03-14 PM 5:51:09 and 919ms, 970112, 13, 0, 637828770699194170, 
474, 2022-03-14 PM 5:51:09 and 935ms, 10218, 325, 0, 637828770699355540, 
475, 2022-03-14 PM 5:51:10 and 537ms, 970134, 8, 0, 637828770705378760, 
476, 2022-03-14 PM 5:51:11 and 40ms, 970112, 13, 0, 637828770710405250, 
477, 2022-03-14 PM 5:51:11 and 57ms, 10218, 569, 0, 637828770710570110, 
478, 2022-03-14 PM 5:51:11 and 73ms, 970024, 40, 0, 637828770710735190, 
479, 2022-03-14 PM 5:51:13 and 750ms, 970110, 38, 0, 637828770737509580, 
480, 2022-03-14 PM 5:51:14 and 102ms, 970112, 13, 0, 637828770741022100, 
481, 2022-03-14 PM 5:51:14 and 118ms, 10205, 58, 0, 637828770741186050, 
482, 2022-03-14 PM 5:51:14 and 620ms, 970112, 13, 0, 637828770746200870, 
483, 2022-03-14 PM 5:51:14 and 937ms, 970110, 38, 0, 637828770749374310, 
484, 2022-03-14 PM 5:51:14 and 954ms, 970019, 20, 0, 637828770749540330, 
485, 2022-03-14 PM 5:51:15 and 925ms, 970126, 35, 0, 637828770759252210, 
486, 2022-03-14 PM 5:51:15 and 941ms, 970126, 36, 0, 637828770759416830, 
487, 2022-03-14 PM 5:51:15 and 957ms, 970126, 42, 0, 637828770759579750, 
488, 2022-03-14 PM 5:51:15 and 974ms, 970135, 22, 0, 637828770759743130, 
489, 2022-03-14 PM 5:51:15 and 990ms, 970112, 13, 0, 637828770759907600, 
490, 2022-03-14 PM 5:51:16 and 158ms, 970110, 38, 0, 637828770761586010, 
491, 2022-03-14 PM 5:51:17 and 96ms, 970112, 13, 0, 637828770770961010, 
492, 2022-03-14 PM 5:51:17 and 112ms, 10229, 731, 0, 637828770771126200, 
493, 2022-03-14 PM 5:51:17 and 129ms, 970135, 22, 0, 637828770771294100, 
494, 2022-03-14 PM 5:51:17 and 145ms, 10206, 24, 0, 637828770771454540, 
495, 2022-03-14 PM 5:51:17 and 162ms, 10232, 20, 0, 637828770771623300, 
496, 2022-03-14 PM 5:51:17 and 279ms, 970110, 38, 0, 637828770772798940, 
497, 2022-03-14 PM 5:51:17 and 798ms, 10208, 403, 0, 637828770777989860, 
498, 2022-03-14 PM 5:51:18 and 99ms, 970110, 38, 0, 637828770780997880, 
499, 2022-03-14 PM 5:51:18 and 199ms, 970110, 38, 0, 637828770781992270, 
500, 2022-03-14 PM 5:51:18 and 399ms, 970110, 38, 0, 637828770783998430, 
501, 2022-03-14 PM 5:51:18 and 415ms, 970019, 20, 0, 637828770784159310, 
502, 2022-03-14 PM 5:51:19 and 237ms, 10212, 46, 0, 637828770792373780, 
503, 2022-03-14 PM 5:51:19 and 254ms, 10212, 47, 0, 637828770792540090, 
504, 2022-03-14 PM 5:51:19 and 437ms, 10212, 46, 0, 637828770794375100, 
505, 2022-03-14 PM 5:51:19 and 454ms, 970110, 38, 0, 637828770794542490, 
506, 2022-03-14 PM 5:51:19 and 738ms, 970110, 38, 0, 637828770797388290, 
507, 2022-03-14 PM 5:51:19 and 755ms, 10212, 46, 0, 637828770797550190, 
508, 2022-03-14 PM 5:51:19 and 771ms, 970110, 38, 0, 637828770797714780, 
509, 2022-03-14 PM 5:51:19 and 970ms, 970110, 38, 0, 637828770799708280, 
510, 2022-03-14 PM 5:51:20 and 6ms, 10212, 47, 0, 637828770800061640, 
511, 2022-03-14 PM 5:51:20 and 256ms, 970110, 38, 0, 637828770802565100, 
512, 2022-03-14 PM 5:51:20 and 272ms, 970019, 20, 0, 637828770802723650, 
513, 2022-03-14 PM 5:51:20 and 289ms, 10212, 49, 0, 637828770802895060, 
514, 2022-03-14 PM 5:51:20 and 306ms, 10212, 47, 0, 637828770803069800, 
515, 2022-03-14 PM 5:51:20 and 324ms, 970110, 38, 0, 637828770803240790, 
516, 2022-03-14 PM 5:51:20 and 457ms, 10212, 49, 0, 637828770804574700, 
517, 2022-03-14 PM 5:51:20 and 674ms, 10212, 49, 0, 637828770806741100, 
518, 2022-03-14 PM 5:51:20 and 909ms, 10212, 45, 0, 637828770809090600, 
519, 2022-03-14 PM 5:51:20 and 925ms, 10212, 48, 0, 637828770809258570, 
520, 2022-03-14 PM 5:51:20 and 992ms, 10212, 67, 0, 637828770809920630, 
521, 2022-03-14 PM 5:51:21 and 963ms, 10212, 45, 0, 637828770819633910, 
522, 2022-03-14 PM 5:51:22 and 715ms, 970110, 38, 0, 637828770827156720, 
523, 2022-03-14 PM 5:51:22 and 731ms, 970110, 38, 0, 637828770827313480, 
524, 2022-03-14 PM 5:51:22 and 916ms, 10212, 55, 0, 637828770829166950, 
525, 2022-03-14 PM 5:51:22 and 934ms, 10212, 49, 0, 637828770829347450, 
526, 2022-03-14 PM 5:51:22 and 949ms, 970112, 65, 0, 637828770829496190, 
527, 2022-03-14 PM 5:51:22 and 965ms, 970110, 38, 0, 637828770829650510, 
528, 2022-03-14 PM 5:51:23 and 216ms, 970110, 38, 0, 637828770832167940, 
529, 2022-03-14 PM 5:51:23 and 232ms, 970019, 20, 0, 637828770832327880, 
530, 2022-03-14 PM 5:51:23 and 426ms, 970110, 38, 0, 637828770834261230, 
531, 2022-03-14 PM 5:51:23 and 527ms, 970110, 38, 0, 637828770835271160, 
532, 2022-03-14 PM 5:51:23 and 743ms, 970110, 38, 0, 637828770837436530, 
533, 2022-03-14 PM 5:51:23 and 911ms, 10209, 317, 0, 637828770839114950, 
534, 2022-03-14 PM 5:51:23 and 928ms, 970112, 65, 0, 637828770839287040, 
535, 2022-03-14 PM 5:51:26 and 856ms, 970112, 13, 0, 637828770868566300, 
536, 2022-03-14 PM 5:51:28 and 694ms, 970123, 13, 0, 637828770886943590, 
537, 2022-03-14 PM 5:51:28 and 927ms, 970123, 12, 0, 637828770889276760, 
538, 2022-03-14 PM 5:51:28 and 944ms, 970123, 10, 0, 637828770889440940, 
539, 2022-03-14 PM 5:51:29 and 162ms, 970123, 31, 0, 637828770891624960, 
540, 2022-03-14 PM 5:51:29 and 680ms, 970123, 9, 0, 637828770896803230, 
541, 2022-03-14 PM 5:51:29 and 815ms, 970123, 10, 0, 637828770898150090, 
542, 2022-03-14 PM 5:51:29 and 830ms, 970123, 19, 0, 637828770898305790, 
543, 2022-03-14 PM 5:51:30 and 382ms, 970123, 13, 0, 637828770903829770, 
544, 2022-03-14 PM 5:51:34 and 288ms, 970112, 13, 0, 637828770942881380, 
545, 2022-03-14 PM 5:51:34 and 489ms, 10210, 73, 0, 637828770944893550, 
546, 2022-03-14 PM 5:51:36 and 438ms, 970112, 13, 0, 637828770964380450, 
547, 2022-03-14 PM 5:51:36 and 454ms, 10202, 73, 0, 637828770964543680, 
548, 2022-03-14 PM 5:51:36 and 948ms, 10214, 37, 0, 637828770969483340, 
549, 2022-03-14 PM 5:51:36 and 964ms, 10202, 74, 0, 637828770969645510, 
550, 2022-03-14 PM 5:51:37 and 148ms, 10214, 38, 0, 637828770971487750, 
551, 2022-03-14 PM 5:51:37 and 166ms, 10202, 76, 0, 637828770971662720, 
552, 2022-03-14 PM 5:51:39 and 304ms, 970123, 10, 0, 637828770993049410, 
553, 2022-03-14 PM 5:51:39 and 706ms, 10214, 40, 0, 637828770997064540, 
554, 2022-03-14 PM 5:51:39 and 723ms, 10202, 77, 0, 637828770997235070, 
555, 2022-03-14 PM 5:51:40 and 24ms, 970123, 9, 0, 637828771000240660, 
556, 2022-03-14 PM 5:51:40 and 40ms, 10215, 13, 0, 637828771000403510, 
557, 2022-03-14 PM 5:51:40 and 57ms, 10202, 95, 0, 637828771000570010, 
558, 2022-03-14 PM 5:51:41 and 762ms, 970110, 38, 0, 637828771017624390, 
559, 2022-03-14 PM 5:51:41 and 779ms, 970123, 12, 0, 637828771017792490, 
560, 2022-03-14 PM 5:51:42 and 180ms, 970110, 38, 0, 637828771021807500, 
561, 2022-03-14 PM 5:51:42 and 197ms, 970019, 20, 0, 637828771021974920, 
562, 2022-03-14 PM 5:51:42 and 480ms, 970110, 38, 0, 637828771024806970, 
563, 2022-03-14 PM 5:51:42 and 681ms, 970110, 38, 0, 637828771026818610, 
564, 2022-03-14 PM 5:51:45 and 71ms, 10214, 59, 0, 637828771050719550, 
565, 2022-03-14 PM 5:51:45 and 88ms, 10202, 77, 0, 637828771050888380, 
566, 2022-03-14 PM 5:51:45 and 440ms, 10214, 41, 0, 637828771054404840, 
567, 2022-03-14 PM 5:51:45 and 457ms, 10202, 74, 0, 637828771054570240, 
568, 2022-03-14 PM 5:51:45 and 858ms, 10214, 38, 0, 637828771058582310, 
569, 2022-03-14 PM 5:51:45 and 875ms, 970112, 65, 0, 637828771058758550, 
570, 2022-03-14 PM 5:51:47 and 697ms, 970123, 13, 0, 637828771076977070, 
571, 2022-03-14 PM 5:51:47 and 906ms, 970123, 10, 0, 637828771079069690, 
572, 2022-03-14 PM 5:51:51 and 854ms, 970112, 13, 0, 637828771118542130, 
573, 2022-03-14 PM 5:51:52 and 874ms, 10216, 75, 0, 637828771128749510, 
574, 2022-03-14 PM 5:51:54 and 915ms, 10217, 308, 0, 637828771149152790, 
575, 2022-03-14 PM 5:51:55 and 65ms, 970123, 11, 0, 637828771150657270, 
576, 2022-03-14 PM 5:51:55 and 82ms, 970108, 160, 0, 637828771150821850, 
577, 2022-03-14 PM 5:51:55 and 985ms, 970112, 13, 0, 637828771159851890, 
578, 2022-03-14 PM 5:51:56 and 2ms, 970112, 13, 0, 637828771160029370, 
579, 2022-03-14 PM 5:51:56 and 18ms, 10218, 511, 0, 637828771160184610, 
580, 2022-03-14 PM 5:51:56 and 35ms, 970114, 379, 0, 637828771160351550, 
581, 2022-03-14 PM 5:51:56 and 52ms, 970112, 13, 0, 637828771160521090, 
582, 2022-03-14 PM 5:51:56 and 68ms, 10218, 633, 0, 637828771160685620, 
583, 2022-03-14 PM 5:51:56 and 704ms, 970112, 13, 0, 637828771167040970, 
584, 2022-03-14 PM 5:51:56 and 720ms, 10218, 511, 0, 637828771167203350, 
585, 2022-03-14 PM 5:51:57 and 942ms, 970112, 13, 0, 637828771179423400, 
586, 2022-03-14 PM 5:51:57 and 958ms, 10218, 569, 0, 637828771179589270, 
587, 2022-03-14 PM 5:51:57 and 975ms, 970024, 40, 0, 637828771179757720, 
588, 2022-03-14 PM 5:52:01 and 136ms, 970112, 13, 0, 637828771211364190, 
589, 2022-03-14 PM 5:52:01 and 152ms, 10205, 39, 0, 637828771211529430, 
590, 2022-03-14 PM 5:52:01 and 990ms, 970014, 64, 0, 637828771219906900, 
591, 2022-03-14 PM 5:52:02 and 141ms, 970135, 22, 0, 637828771221413050, 
592, 2022-03-14 PM 5:52:02 and 174ms, 970126, 36, 0, 637828771221741870, 
593, 2022-03-14 PM 5:52:02 and 190ms, 970108, 99, 0, 637828771221909140, 
594, 2022-03-14 PM 5:52:02 and 207ms, 970112, 13, 0, 637828771222072080, 
595, 2022-03-14 PM 5:52:03 and 462ms, 970112, 13, 0, 637828771234628100, 
596, 2022-03-14 PM 5:52:03 and 495ms, 10229, 658, 0, 637828771234956890, 
597, 2022-03-14 PM 5:52:03 and 513ms, 970135, 22, 0, 637828771235131490, 
598, 2022-03-14 PM 5:52:03 and 529ms, 10208, 403, 0, 637828771235294410, 
599, 2022-03-14 PM 5:52:05 and 436ms, 10212, 49, 0, 637828771254360440, 
600, 2022-03-14 PM 5:52:05 and 719ms, 10212, 49, 0, 637828771257194970, 
601, 2022-03-14 PM 5:52:05 and 936ms, 10212, 49, 0, 637828771259366510, 
602, 2022-03-14 PM 5:52:06 and 640ms, 10212, 46, 0, 637828771266402950, 
603, 2022-03-14 PM 5:52:06 and 656ms, 10212, 48, 0, 637828771266564980, 
604, 2022-03-14 PM 5:52:06 and 672ms, 10212, 67, 0, 637828771266728870, 
605, 2022-03-14 PM 5:52:08 and 596ms, 10212, 45, 0, 637828771285962110, 
606, 2022-03-14 PM 5:52:08 and 613ms, 10212, 55, 0, 637828771286138140, 
607, 2022-03-14 PM 5:52:08 and 631ms, 10212, 49, 0, 637828771286312020, 
608, 2022-03-14 PM 5:52:08 and 647ms, 970112, 65, 0, 637828771286476280, 
609, 2022-03-14 PM 5:52:09 and 600ms, 10209, 286, 0, 637828771296008500, 
610, 2022-03-14 PM 5:52:09 and 616ms, 970112, 65, 0, 637828771296169720, 
611, 2022-03-14 PM 5:52:12 and 396ms, 970112, 13, 0, 637828771323969950, 
612, 2022-03-14 PM 5:52:14 and 889ms, 970123, 12, 0, 637828771348895440, 
613, 2022-03-14 PM 5:52:14 and 905ms, 970123, 10, 0, 637828771349053280, 
614, 2022-03-14 PM 5:52:14 and 923ms, 970123, 13, 0, 637828771349230970, 
615, 2022-03-14 PM 5:52:14 and 939ms, 970123, 31, 0, 637828771349393360, 
616, 2022-03-14 PM 5:52:14 and 955ms, 970123, 9, 0, 637828771349555330, 
617, 2022-03-14 PM 5:52:15 and 406ms, 970123, 19, 0, 637828771354065550, 
618, 2022-03-14 PM 5:52:18 and 936ms, 970123, 13, 0, 637828771389367880, 
619, 2022-03-14 PM 5:52:18 and 954ms, 970123, 10, 0, 637828771389541990, 
620, 2022-03-14 PM 5:52:20 and 459ms, 970112, 13, 0, 637828771404596460, 
621, 2022-03-14 PM 5:52:20 and 476ms, 10202, 83, 0, 637828771404761270, 
622, 2022-03-14 PM 5:52:21 and 997ms, 970125, 1, 0, 637828771419979140, 
623, 2022-03-14 PM 5:52:22 and 13ms, 10214, 47, 0, 637828771420138020, 
624, 2022-03-14 PM 5:52:22 and 31ms, 10202, 73, 0, 637828771420315030, 
625, 2022-03-14 PM 5:52:22 and 415ms, 10214, 37, 0, 637828771424157740, 
626, 2022-03-14 PM 5:52:22 and 432ms, 10202, 74, 0, 637828771424327130, 
627, 2022-03-14 PM 5:52:22 and 717ms, 10214, 38, 0, 637828771427176930, 
628, 2022-03-14 PM 5:52:22 and 734ms, 10202, 76, 0, 637828771427343430, 
629, 2022-03-14 PM 5:52:23 and 336ms, 10214, 40, 0, 637828771433365620, 
630, 2022-03-14 PM 5:52:23 and 352ms, 10202, 77, 0, 637828771433526270, 
631, 2022-03-14 PM 5:52:23 and 954ms, 970123, 19, 0, 637828771439541700, 
632, 2022-03-14 PM 5:52:24 and 472ms, 970128, 2179, 0, 637828771444724760, 
633, 2022-03-14 PM 5:52:24 and 875ms, 970123, 9, 0, 637828771448752790, 
634, 2022-03-14 PM 5:52:24 and 891ms, 970123, 10, 0, 637828771448911370, 
635, 2022-03-14 PM 5:52:25 and 227ms, 970123, 12, 0, 637828771452270960, 
636, 2022-03-14 PM 5:52:27 and 433ms, 10214, 41, 0, 637828771474335490, 
637, 2022-03-14 PM 5:52:27 and 450ms, 10202, 95, 0, 637828771474507120, 
638, 2022-03-14 PM 5:52:28 and 36ms, 10214, 59, 0, 637828771480363530, 
639, 2022-03-14 PM 5:52:28 and 53ms, 10202, 77, 0, 637828771480533120, 
640, 2022-03-14 PM 5:52:28 and 555ms, 10215, 13, 0, 637828771485558540, 
641, 2022-03-14 PM 5:52:28 and 570ms, 10202, 74, 0, 637828771485704730, 
642, 2022-03-14 PM 5:52:28 and 856ms, 10214, 38, 0, 637828771488564960, 
643, 2022-03-14 PM 5:52:28 and 873ms, 970112, 65, 0, 637828771488732680, 
644, 2022-03-14 PM 5:52:29 and 223ms, 970123, 13, 0, 637828771492234790, 
645, 2022-03-14 PM 5:52:30 and 608ms, 970123, 31, 0, 637828771506081350, 
646, 2022-03-14 PM 5:52:30 and 910ms, 970123, 10, 0, 637828771509103380, 
647, 2022-03-14 PM 5:52:31 and 428ms, 970112, 13, 0, 637828771514286890, 
648, 2022-03-14 PM 5:52:32 and 464ms, 10216, 78, 0, 637828771524649840, 
649, 2022-03-14 PM 5:52:33 and 751ms, 970128, 2179, 0, 637828771537516180, 
650, 2022-03-14 PM 5:52:34 and 388ms, 10217, 283, 0, 637828771543889490, 
651, 2022-03-14 PM 5:52:35 and 643ms, 970112, 13, 0, 637828771556431670, 
652, 2022-03-14 PM 5:52:35 and 659ms, 970112, 13, 0, 637828771556590350, 
653, 2022-03-14 PM 5:52:35 and 675ms, 10218, 452, 0, 637828771556759300, 
654, 2022-03-14 PM 5:52:37 and 466ms, 970114, 379, 0, 637828771574663900, 
655, 2022-03-14 PM 5:52:37 and 482ms, 970112, 13, 0, 637828771574825210, 
656, 2022-03-14 PM 5:52:37 and 498ms, 10218, 479, 0, 637828771574988880, 
657, 2022-03-14 PM 5:52:38 and 234ms, 970112, 13, 0, 637828771582348740, 
658, 2022-03-14 PM 5:52:38 and 251ms, 10218, 373, 0, 637828771582512690, 
659, 2022-03-14 PM 5:52:39 and 505ms, 970112, 13, 0, 637828771595059840, 
660, 2022-03-14 PM 5:52:39 and 522ms, 10218, 510, 0, 637828771595228500, 
661, 2022-03-14 PM 5:52:39 and 539ms, 970024, 40, 0, 637828771595397530, 
662, 2022-03-14 PM 5:52:42 and 583ms, 970112, 13, 0, 637828771625833620, 
663, 2022-03-14 PM 5:52:43 and 722ms, 970135, 22, 0, 637828771637220330, 
664, 2022-03-14 PM 5:52:43 and 738ms, 970126, 33, 0, 637828771637383410, 
665, 2022-03-14 PM 5:52:43 and 754ms, 970112, 13, 0, 637828771637542310, 
666, 2022-03-14 PM 5:52:45 and 195ms, 970112, 13, 0, 637828771651953260, 
667, 2022-03-14 PM 5:52:45 and 209ms, 10229, 658, 0, 637828771652096330, 
668, 2022-03-14 PM 5:52:45 and 226ms, 970135, 22, 0, 637828771652263060, 
669, 2022-03-14 PM 5:52:45 and 243ms, 10208, 403, 0, 637828771652431960, 
670, 2022-03-14 PM 5:52:46 and 682ms, 10212, 46, 0, 637828771666823510, 
671, 2022-03-14 PM 5:52:46 and 982ms, 10212, 46, 0, 637828771669829260, 
672, 2022-03-14 PM 5:52:47 and 601ms, 10212, 45, 0, 637828771676010220, 
673, 2022-03-14 PM 5:52:48 and 19ms, 10212, 67, 0, 637828771680196570, 
674, 2022-03-14 PM 5:52:48 and 420ms, 10212, 67, 0, 637828771684205720, 
675, 2022-03-14 PM 5:52:48 and 470ms, 10212, 48, 0, 637828771684707660, 
676, 2022-03-14 PM 5:52:49 and 106ms, 10212, 67, 0, 637828771691062850, 
677, 2022-03-14 PM 5:52:49 and 341ms, 10212, 67, 0, 637828771693412160, 
678, 2022-03-14 PM 5:52:50 and 259ms, 10212, 49, 0, 637828771702599470, 
679, 2022-03-14 PM 5:52:50 and 293ms, 10212, 55, 0, 637828771702934650, 
680, 2022-03-14 PM 5:52:50 and 310ms, 10212, 49, 0, 637828771703104330, 
681, 2022-03-14 PM 5:52:50 and 327ms, 970112, 65, 0, 637828771703273070, 
682, 2022-03-14 PM 5:52:51 and 263ms, 10209, 286, 0, 637828771712635890, 
683, 2022-03-14 PM 5:52:51 and 280ms, 970112, 65, 0, 637828771712803680, 
684, 2022-03-14 PM 5:52:53 and 855ms, 970112, 13, 0, 637828771738558210, 
685, 2022-03-14 PM 5:52:55 and 796ms, 970123, 13, 0, 637828771757968910, 
686, 2022-03-14 PM 5:52:56 and 97ms, 970123, 10, 0, 637828771760971010, 
687, 2022-03-14 PM 5:52:56 and 314ms, 970123, 31, 0, 637828771763145990, 
688, 2022-03-14 PM 5:52:56 and 681ms, 970123, 19, 0, 637828771766819810, 
689, 2022-03-14 PM 5:52:57 and 117ms, 970123, 12, 0, 637828771771178180, 
690, 2022-03-14 PM 5:52:57 and 534ms, 970123, 10, 0, 637828771775348120, 
691, 2022-03-14 PM 5:52:57 and 551ms, 970123, 13, 0, 637828771775512910, 
692, 2022-03-14 PM 5:52:57 and 836ms, 970123, 9, 0, 637828771778368310, 
693, 2022-03-14 PM 5:52:59 and 325ms, 970112, 13, 0, 637828771793251930, 
694, 2022-03-14 PM 5:52:59 and 509ms, 10210, 68, 0, 637828771795095950, 
695, 2022-03-14 PM 5:52:59 and 526ms, 970110, 38, 0, 637828771795265420, 
696, 2022-03-14 PM 5:52:59 and 893ms, 970110, 38, 0, 637828771798933920, 
697, 2022-03-14 PM 5:53:01 and 331ms, 970110, 48, 0, 637828771813318870, 
698, 2022-03-14 PM 5:53:01 and 399ms, 970112, 13, 0, 637828771813994150, 
699, 2022-03-14 PM 5:53:01 and 415ms, 10202, 83, 0, 637828771814153490, 
700, 2022-03-14 PM 5:53:03 and 740ms, 10214, 47, 0, 637828771837401450, 
701, 2022-03-14 PM 5:53:03 and 757ms, 10202, 73, 0, 637828771837570230, 
702, 2022-03-14 PM 5:53:04 and 492ms, 970110, 42, 0, 637828771844928060, 
703, 2022-03-14 PM 5:53:04 and 709ms, 970110, 42, 0, 637828771847098730, 
704, 2022-03-14 PM 5:53:05 and 11ms, 970110, 42, 0, 637828771850110150, 
705, 2022-03-14 PM 5:53:05 and 211ms, 970110, 42, 0, 637828771852116360, 
706, 2022-03-14 PM 5:53:05 and 228ms, 970019, 24, 0, 637828771852281220, 
707, 2022-03-14 PM 5:53:05 and 263ms, 970110, 42, 0, 637828771852632500, 
708, 2022-03-14 PM 5:53:05 and 446ms, 970123, 19, 0, 637828771854461610, 
709, 2022-03-14 PM 5:53:06 and 383ms, 970110, 42, 0, 637828771863831410, 
710, 2022-03-14 PM 5:53:06 and 398ms, 10214, 37, 0, 637828771863986770, 
711, 2022-03-14 PM 5:53:06 and 415ms, 10202, 74, 0, 637828771864158760, 
712, 2022-03-14 PM 5:53:06 and 550ms, 970110, 42, 0, 637828771865500120, 
713, 2022-03-14 PM 5:53:06 and 567ms, 10214, 38, 0, 637828771865670180, 
