No. , DateTime, packetNumber, packet_nAddpos, packet_nPos ,packet_ArrayByte, Ticks
172, 2022-03-14 PM 5:48:47 and 794ms, 10202, 76, 0, 637828769277944930, 
173, 2022-03-14 PM 5:48:49 and 451ms, 10214, 40, 0, 637828769294514750, 
174, 2022-03-14 PM 5:48:49 and 467ms, 10202, 77, 0, 637828769294677190, 
175, 2022-03-14 PM 5:48:49 and 718ms, 10214, 41, 0, 637828769297185560, 
176, 2022-03-14 PM 5:48:49 and 735ms, 10202, 74, 0, 637828769297354710, 
177, 2022-03-14 PM 5:48:49 and 935ms, 10214, 38, 0, 637828769299351880, 
178, 2022-03-14 PM 5:48:49 and 951ms, 10202, 83, 0, 637828769299518490, 
179, 2022-03-14 PM 5:48:51 and 675ms, 970123, 12, 0, 637828769316752740, 
180, 2022-03-14 PM 5:48:51 and 792ms, 970123, 13, 0, 637828769317920730, 
181, 2022-03-14 PM 5:48:51 and 807ms, 10214, 47, 0, 637828769318071020, 
182, 2022-03-14 PM 5:48:51 and 824ms, 10202, 73, 0, 637828769318240650, 
183, 2022-03-14 PM 5:48:52 and 175ms, 970123, 10, 0, 637828769321757440, 
184, 2022-03-14 PM 5:48:53 and 580ms, 10214, 37, 0, 637828769335804770, 
185, 2022-03-14 PM 5:48:53 and 598ms, 10202, 75, 0, 637828769335982290, 
186, 2022-03-14 PM 5:48:53 and 613ms, 10215, 11, 0, 637828769336139080, 
187, 2022-03-14 PM 5:48:53 and 630ms, 970112, 65, 0, 637828769336303620, 
188, 2022-03-14 PM 5:48:53 and 647ms, 970123, 19, 0, 637828769336470270, 
189, 2022-03-14 PM 5:48:56 and 374ms, 970123, 9, 0, 637828769363741290, 
190, 2022-03-14 PM 5:48:56 and 926ms, 970112, 13, 0, 637828769369261390, 
191, 2022-03-14 PM 5:48:57 and 913ms, 10216, 76, 0, 637828769379131430, 
192, 2022-03-14 PM 5:48:59 and 969ms, 10217, 275, 0, 637828769399691370, 
193, 2022-03-14 PM 5:49:00 and 990ms, 970112, 13, 0, 637828769409905180, 
194, 2022-03-14 PM 5:49:01 and 6ms, 970112, 13, 0, 637828769410061560, 
195, 2022-03-14 PM 5:49:01 and 22ms, 10218, 280, 0, 637828769410227570, 
196, 2022-03-14 PM 5:49:01 and 809ms, 970112, 13, 0, 637828769418091650, 
197, 2022-03-14 PM 5:49:01 and 825ms, 10218, 261, 0, 637828769418251860, 
198, 2022-03-14 PM 5:49:01 and 842ms, 970114, 379, 0, 637828769418421900, 
199, 2022-03-14 PM 5:49:01 and 859ms, 970112, 13, 0, 637828769418595220, 
200, 2022-03-14 PM 5:49:01 and 875ms, 10218, 352, 0, 637828769418756430, 
201, 2022-03-14 PM 5:49:02 and 628ms, 970112, 13, 0, 637828769426289130, 
202, 2022-03-14 PM 5:49:02 and 644ms, 10218, 261, 0, 637828769426445940, 
203, 2022-03-14 PM 5:49:03 and 849ms, 970112, 13, 0, 637828769438494240, 
204, 2022-03-14 PM 5:49:03 and 866ms, 10218, 508, 0, 637828769438663040, 
205, 2022-03-14 PM 5:49:03 and 883ms, 970024, 40, 0, 637828769438830200, 
206, 2022-03-14 PM 5:49:06 and 825ms, 970112, 13, 0, 637828769468255500, 
207, 2022-03-14 PM 5:49:08 and 97ms, 970135, 22, 0, 637828769480975670, 
208, 2022-03-14 PM 5:49:08 and 130ms, 970126, 34, 0, 637828769481303370, 
209, 2022-03-14 PM 5:49:08 and 147ms, 970126, 33, 0, 637828769481476060, 
210, 2022-03-14 PM 5:49:08 and 164ms, 970112, 13, 0, 637828769481642600, 
211, 2022-03-14 PM 5:49:09 and 384ms, 970112, 13, 0, 637828769493849920, 
212, 2022-03-14 PM 5:49:09 and 401ms, 10229, 731, 0, 637828769494011370, 
213, 2022-03-14 PM 5:49:09 and 418ms, 970135, 22, 0, 637828769494183400, 
214, 2022-03-14 PM 5:49:09 and 434ms, 10208, 404, 0, 637828769494349830, 
215, 2022-03-14 PM 5:49:10 and 505ms, 970123, 31, 0, 637828769505055120, 
216, 2022-03-14 PM 5:49:10 and 522ms, 10212, 67, 0, 637828769505221240, 
217, 2022-03-14 PM 5:49:10 and 538ms, 970108, 220, 0, 637828769505387140, 
218, 2022-03-14 PM 5:49:10 and 924ms, 10212, 46, 0, 637828769509240610, 
219, 2022-03-14 PM 5:49:10 and 940ms, 10212, 46, 0, 637828769509403460, 
220, 2022-03-14 PM 5:49:11 and 124ms, 10212, 46, 0, 637828769511240500, 
221, 2022-03-14 PM 5:49:11 and 743ms, 10212, 45, 0, 637828769517431050, 
222, 2022-03-14 PM 5:49:11 and 943ms, 10212, 46, 0, 637828769519433030, 
223, 2022-03-14 PM 5:49:12 and 796ms, 10212, 45, 0, 637828769527969640, 
224, 2022-03-14 PM 5:49:13 and 64ms, 10212, 48, 0, 637828769530649720, 
225, 2022-03-14 PM 5:49:14 and 519ms, 10212, 49, 0, 637828769545196050, 
226, 2022-03-14 PM 5:49:14 and 536ms, 10212, 55, 0, 637828769545363250, 
227, 2022-03-14 PM 5:49:14 and 552ms, 10212, 49, 0, 637828769545527510, 
228, 2022-03-14 PM 5:49:14 and 569ms, 970112, 65, 0, 637828769545691380, 
229, 2022-03-14 PM 5:49:15 and 523ms, 10209, 317, 0, 637828769555230680, 
230, 2022-03-14 PM 5:49:15 and 539ms, 970112, 65, 0, 637828769555399980, 
231, 2022-03-14 PM 5:49:16 and 961ms, 970108, 166, 0, 637828769569613670, 
232, 2022-03-14 PM 5:49:16 and 984ms, 970108, 220, 0, 637828769569848240, 
233, 2022-03-14 PM 5:49:18 and 401ms, 970112, 13, 0, 637828769584014470, 
234, 2022-03-14 PM 5:49:19 and 837ms, 970123, 12, 0, 637828769598377650, 
